ID,courseCode,title,credits,description,maxStudents,department_ID,professor_ID
c2b0e1f0-0001-4000-8000-000000000001,CS101,Introduction to Programming,4,Fundamentals of programming using modern languages,60,d1a0e1f0-0001-4000-8000-000000000001,f6a0e1f0-0001-4000-8000-000000000001
c2b0e1f0-0002-4000-8000-000000000002,CS201,Data Structures & Algorithms,4,Core data structures sorting searching graphs,50,d1a0e1f0-0001-4000-8000-000000000001,f6a0e1f0-0001-4000-8000-000000000001
c2b0e1f0-0003-4000-8000-000000000003,CS301,Database Management Systems,3,Relational databases SQL normalization,45,d1a0e1f0-0001-4000-8000-000000000001,f6a0e1f0-0002-4000-8000-000000000002
c2b0e1f0-0004-4000-8000-000000000004,ME101,Engineering Mechanics,3,Statics and dynamics fundamentals,60,d1a0e1f0-0002-4000-8000-000000000002,f6a0e1f0-0003-4000-8000-000000000003
c2b0e1f0-0005-4000-8000-000000000005,ME201,Thermodynamics,4,Laws of thermodynamics heat engines cycles,50,d1a0e1f0-0002-4000-8000-000000000002,f6a0e1f0-0003-4000-8000-000000000003
c2b0e1f0-0006-4000-8000-000000000006,EE101,Circuit Theory,3,Analysis of electrical circuits,55,d1a0e1f0-0003-4000-8000-000000000003,f6a0e1f0-0004-4000-8000-000000000004
c2b0e1f0-0007-4000-8000-000000000007,EE201,Digital Electronics,4,Boolean algebra logic gates microprocessors,50,d1a0e1f0-0003-4000-8000-000000000003,f6a0e1f0-0004-4000-8000-000000000004
c2b0e1f0-0008-4000-8000-000000000008,MBA101,Principles of Management,3,Planning organizing leading controlling,80,d1a0e1f0-0004-4000-8000-000000000004,f6a0e1f0-0005-4000-8000-000000000005
c2b0e1f0-0009-4000-8000-000000000009,MATH101,Calculus I,4,Limits derivatives integrals,70,d1a0e1f0-0005-4000-8000-000000000005,f6a0e1f0-0006-4000-8000-000000000006
c2b0e1f0-000a-4000-8000-000000000010,MATH201,Linear Algebra,3,Vectors matrices linear transformations,60,d1a0e1f0-0005-4000-8000-000000000005,f6a0e1f0-0006-4000-8000-000000000006
